object_property (op),super-op,domain,range,functional,inverse functional,transitive,symmetric,asymmetric,reflexive,irreflexive,inverse_prop
has/Symptoms/Agitation,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Complications/Suicide,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Symptoms/Fast_heart_rate,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
has/Complications/Depression,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
has/Complications/Trouble_sleeping,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
has/Complications/Suicide,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
has/Medication/Beta_blockers,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Symptoms/Memory_problems,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Personality_changes,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Mood_swings,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Cognitive_impairment,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Vision,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Movement_problems,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Symptoms/False_beliefs,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Symptoms/Seeing_or_hearing_things_that_others_do_not_see_or_hear,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Complications/Self-harm,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Complications/Suicide,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
