Mental disorder,
Adjustment disorder,Mental disorder
Anxiety disorder,Mental disorder
Delusional disorder,Mental disorder
Factitious disorder,Mental disorder
Hypersomnia disorder related to another mental disorder,Mental disorder
Impulse control disorder,Mental disorder
Bodily distress disorder,Mental disorder
Neurosis,Mental disorder
Organic mental disorder,Mental disorder
Personality disorder,Mental disorder
Psychosexual disorder,Mental disorder
Psychotic disorder,Mental disorder
Tic disorder,Mental disorder
Munchausen's by proxy,Mental disorder
Mixed behavior and emotional disorder,Mental disorder
Identity disorder,Mental disorder
Axis I diagnosis,Mental disorder
Axis II diagnosis,Mental disorder
Axis III diagnosis,Mental disorder
Axis IV diagnosis,Mental disorder
Axis V diagnosis,Mental disorder
Emotional deprivation syndrome,Mental disorder
Specific nonpsychotic mental disorders following organic brain damage,Mental disorder
Psychosis with origin in childhood,Mental disorder
Behavioral and emotional disorder with onset in childhood,Mental disorder
Adjustment disorder with depressed mood,Adjustment disorder
Adjustment disorder with disturbance of conduct,Adjustment disorder
Adjustment disorder with mixed emotional features,Adjustment disorder
Adjustment disorder with physical complaints,Adjustment disorder
Adjustment disorder with withdrawal,Adjustment disorder
Adjustment disorder with anxious mood,Adjustment disorder
Adjustment reaction with physical symptoms,Adjustment disorder
Culture shock,Adjustment disorder
Adjustment reaction in infancy,Adjustment disorder
Adjustment reaction of childhood,Adjustment disorder
Adjustment reaction of adolescence,Adjustment disorder
Adjustment reaction of adult life,Adjustment disorder
Adjustment reaction of late life,Adjustment disorder
Adolescent emancipation disorder,Adjustment disorder
Aggressor identification syndrome,Adjustment disorder
Adjustment disorder with work inhibition,Adjustment disorder
Adjustment disorder with academic inhibition,Adjustment disorder
Stress and adjustment reaction,Adjustment disorder
Concentration camp syndrome,Adjustment disorder
Elective mutism due to an adjustment reaction,Adjustment disorder
Hospitalism,Adjustment disorder
Adjustment reaction to medical therapy,Adjustment disorder
Adjustment disorder in remission,Adjustment disorder
Persistent adjustment disorder,Adjustment disorder
emancipation disorder of adolescence and early adult life,Adjustment disorder
Brief depressive adjustment reaction,Adjustment disorder with depressed mood
Prolonged depressive adjustment reaction,Adjustment disorder with depressed mood
Adjustment disorder with mixed anxiety and depressed mood,Adjustment disorder with depressed mood
Adjustment disorder with depressed mood in remission,Adjustment disorder with depressed mood
Adjustment disorder with mixed disturbance of emotions AND conduct,Adjustment disorder with disturbance of conduct
Adjustment reaction with aggression,Adjustment disorder with disturbance of conduct
Adjustment reaction with antisocial behavior,Adjustment disorder with disturbance of conduct
Adjustment reaction with destructiveness,Adjustment disorder with disturbance of conduct
Adjustment disorder with mixed disturbance of emotions and conduct in remission,Adjustment disorder with mixed disturbance of emotions AND conduct
adjustment disorder with anxiety and prolonged depressed mood,Adjustment disorder with mixed emotional features
Adjustment disorder with anxious mood in remission,Adjustment disorder with anxious mood
Specific academic or work inhibition,Adjustment reaction with physical symptoms
Early adult emancipation disorder,Adjustment reaction with physical symptoms
Specific work inhibition,Adjustment reaction with physical symptoms
Stress-related problem,Stress and adjustment reaction
Caregiver stress syndrome,Stress and adjustment reaction
Stress reaction with psychomotor agitation,Stress and adjustment reaction
Psychogenic fugue co-occurrent and due to stress reaction,Stress and adjustment reaction
reaction to chronic stress,Stress and adjustment reaction
acute reaction to stress with disturbance of emotions,Stress and adjustment reaction
recent emotional stress from a terminal illness,Stress-related problem
stress-related physiological response affecting physical condition,Stress-related problem
Adjustment disorder with depressed mood in remission,Adjustment disorder in remission
Adjustment disorder with mixed disturbance of emotions and conduct in remission,Adjustment disorder in remission
Adjustment disorder with anxious mood in remission,Adjustment disorder in remission
Anxiety disorder of childhood OR adolescence,Anxiety disorder
Separation anxiety,Anxiety disorder
Obsessive-compulsive disorder,Anxiety disorder
Panic disorder,Anxiety disorder
Posttraumatic stress disorder,Anxiety disorder
Anxiety disorder due to a general medical condition,Anxiety disorder
Acute stress disorder,Anxiety disorder
Generalized anxiety disorder,Anxiety disorder
Anxiety hyperventilation,Anxiety disorder
Mixed anxiety and depressive disorder,Anxiety disorder
Phobic disorder,Anxiety disorder
Physical AND emotional exhaustion state,Anxiety disorder
Occupation-related stress disorder,Anxiety disorder
Chronic stress disorder,Anxiety disorder
Anxiety disorder in mother complicating childbirth,Anxiety disorder
Dream anxiety disorder,Anxiety disorder
Anxiety disorder caused by drug,Anxiety disorder
Severe major depressive disorder co-occurrent with anxiety single episode,Anxiety disorder
Moderate major depressive disorder co-occurrent with anxiety single episode,Anxiety disorder
Mild major depressive disorder co-occurrent with anxiety single episode,Anxiety disorder
Recurrent mild major depressive disorder co-occurrent with anxiety,Anxiety disorder
Recurrent moderate major depressive disorder co-occurrent with anxiety,Anxiety disorder
Recurrent severe major depressive disorder co-occurrent with anxiety,Anxiety disorder
Recurrent major depressive disorder co-occurrent with anxiety in full remission,Anxiety disorder
Recurrent major depressive disorder in partial remission co-occurrent with anxiety,Anxiety disorder
Avoidant disorder of childhood OR adolescence,Anxiety disorder of childhood OR adolescence
Shyness disorder of childhood,Anxiety disorder of childhood OR adolescence
Anxiety disorder of childhood,Anxiety disorder of childhood OR adolescence
Anxiety disorder of adolescence,Anxiety disorder of childhood OR adolescence
Avoidant disorder of childhood,Anxiety disorder of childhood OR adolescence
Avoidant disorder of adolescence,Anxiety disorder of childhood OR adolescence
Overanxious disorder of childhood,Anxiety disorder of childhood OR adolescence
Childhood phobic anxiety disorder,Anxiety disorder of childhood
Separation anxiety disorder of childhood,Anxiety disorder of childhood
"Separation anxiety disorder of childhood, early onset",Separation anxiety disorder of childhood
Separation anxiety disorder of childhood,Separation anxiety
"Separation anxiety disorder of childhood, early onset",Separation anxiety disorder of childhood
Obsessional neurosis,Obsessive-compulsive disorder
Compulsive neurosis,Obsessive-compulsive disorder
Psychogenic rumination,Obsessive-compulsive disorder
Olfactory reference disorder,Obsessive-compulsive disorder
Obsessive compulsive disorder caused by cocaine,Obsessive-compulsive disorder
Obsessive compulsive disorder caused by psychoactive substance,Obsessive-compulsive disorder
Obsessive compulsive disorder caused by synthetic cathinone,Obsessive-compulsive disorder
obsessive-compulsive and related disorder due to another medical condition with skin-picking symptoms,Obsessive-compulsive disorder
obsessive-compulsive and related disorder due to another medical condition with obsessive-compulsive disorder-like sympt,Obsessive-compulsive disorder
obsessive-compulsive and related disorder due to another medical condition with hair-pulling symptoms,Obsessive-compulsive disorder
obsessive-compulsive and related disorder due to another medical condition with appearance preoccupations,Obsessive-compulsive disorder
obsessive-compulsive and related disorder due to another medical condition,Obsessive-compulsive disorder
Obsessive compulsive disorder caused by stimulant,Obsessive compulsive disorder caused by psychoactive substance
Panic disorder without agoraphobia,Panic disorder
Panic disorder with agoraphobia,Panic disorder
Acute panic state due to acute stress reaction,Panic disorder
Panic disorder without agoraphobia with mild panic attacks,Panic disorder without agoraphobia
Panic disorder without agoraphobia with moderate panic attacks,Panic disorder without agoraphobia
Panic disorder without agoraphobia with severe panic attacks,Panic disorder without agoraphobia
Panic disorder without agoraphobia with panic attacks in partial remission,Panic disorder without agoraphobia
Panic disorder without agoraphobia with panic attacks in full remission,Panic disorder without agoraphobia
panic disorder without agoraphobia with panic attacks,Panic disorder without agoraphobia
Panic disorder with agoraphobia AND mild panic attacks,Panic disorder with agoraphobia
