Infectious agent,Common name,Signs and symptoms,Diagnosis,Treatment,Vaccine(s)
Acinetobacter baumannii,Acinetobacter infections,"Blood infection: Fever, chills, vomiting, confusion Urinary tract infection: bloody urine, cloudy urine Pneumonia: Fever, chills, coughing",Culture,Supportive care,No
"Actinomyces israelii, Actinomyces gerencseriae and Propionibacterium propionicus",Actinomycosis,Painful abscesses,Histologic findings,"Penicillin, doxycycline, and sulfonamides",No
Adenoviridae,Adenovirus infection,"high fever that lasts 4–6 days pharyngitis (sore throat) conjunctivitis (inflamed eyes, usually without pus formation like pink eye) enlargement of the lymph nodes of the neck headache, malaise, and weakness Incubation period of 5–9 days","Antigen detection, polymerase chain reaction assay, virus isolation, and serology",Most infections are mild and require no therapy or only symptomatic treatment.,Under research[1]
Trypanosoma brucei,African sleeping sickness (African trypanosomiasis),"Hemolymphatic phase: Fever, lymphadenopathy Neurological phase: Sleep disorders, neurological symptoms, psychiatric symptoms",Identification of trypanosomes in a sample by microscopic examination,Fexinidazole by mouth or pentamidine by injection for T. b. gambiense. Suramin by injection is used for T. b. rhodesiense,Under research[2]
HIV (Human immunodeficiency virus),AIDS (acquired immunodeficiency syndrome),Opportunistic infections,"Antibody test, p24 antigen test, PCR",Treatment is typically a non-nucleoside reverse transcriptase inhibitor (NNRTI) plus two nucleoside analog reverse transcriptase inhibitors (NRTIs),Under research[3]
Entamoeba histolytica,Amoebiasis,Most are asymptomatic.,Microscopy,Those with symptoms require treatment with an amoebicidal tissue-active agent and a luminal cysticidal agent. Individuals that are asymptomatic only need a luminal cysticidal agent.,No
Anaplasma species,Anaplasmosis,"Fever, leukopenia, abnormally elevated levels of liver enzymes",indirect immunofluorescence antibody assay for IgG,"Tetracycline drugs (including tetracycline, chlortetracycline, oxytetracycline, rolitetracycline, doxycycline, and minocycline) and imidocarb",No
Angiostrongylus,Angiostrongyliasis,"Abdominal pain, nausea, vomiting, and weakness, fever, central nervous system (CNS) symptoms","Lumbar puncture, brain imaging, serology",Albendazole,No
Anisakis,Anisakiasis,"Severe abdominal pain, malnutrition, and vomiting","Gastroscopic examination, or histopathologic examination",Albendazole,No
Bacillus anthracis,Anthrax,boil-like skin lesion that eventually forms an ulcer with a black center (eschar),"Culture, PCR","Large doses of intravenous and oral antibiotics, such as fluoroquinolones (ciprofloxacin), doxycycline, erythromycin, vancomycin, or penicillin",Yes
