object_property (op),super-op,domain,range,functional,inverse functional,transitive,symmetric,asymmetric,reflexive,irreflexive,inverse_prop
UI/class_UI,,Mental disorder,class,False,False,False,False,False,False,False,
UI/74732009,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
UI/106015009,,Mental disorder,Mental disorder AND/OR culture bound syndrome,False,False,False,False,False,False,False,
UI/109896009,,Mental disorder,Indication for modification of patient status,False,False,False,False,False,False,False,
UI/111475002,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
UI/111479008,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
UI/1144942002,,Mental disorder,Neuropsychiatric disorder due to systemic lupus erythematosus,False,False,False,False,False,False,False,
UI/128293007,,Mental disorder,Chronic mental disorder,False,False,False,False,False,False,False,
UI/129104009,,Mental disorder,Developmental mental disorder,False,False,False,False,False,False,False,
UI/17226007,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
UI/191687005,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
UI/192069009,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
UI/192616009,,Mental disorder,Childhood or adolescent disorder of social functioning,False,False,False,False,False,False,False,
UI/19480005,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
UI/197480006,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
UI/199257008,,Mental disorder,"Mental disorders during pregnancy, childbirth and the puerperium",False,False,False,False,False,False,False,
UI/231520001,,Mental disorder,Behavioral syndrome associated with physiological disturbance and physical factors,False,False,False,False,False,False,False,
UI/231538003,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
UI/238959007,,Mental disorder,Disorders of cutaneous image and perception,False,False,False,False,False,False,False,
UI/24121004,,Mental disorder,Insomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
UI/268664001,,Mental disorder,Childhood emotional disorder,False,False,False,False,False,False,False,
UI/288421000119100,,Mental disorder,Hyposomnia co-occurrent and due to psychological disorder,False,False,False,False,False,False,False,
UI/317816007,,Mental disorder,Stockholm syndrome,False,False,False,False,False,False,False,
UI/33449004,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
UI/34485008,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
UI/39465007,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
UI/398066007,,Mental disorder,Intensive care psychiatric disorder,False,False,False,False,False,False,False,
UI/129607003,,Mental disorder,Mother-daughter symbiotic syndrome,False,False,False,False,False,False,False,
UI/27803006,,Mental disorder,Qi-gong psychotic reaction,False,False,False,False,False,False,False,
UI/2838003,,Mental disorder,Piblokto,False,False,False,False,False,False,False,
UI/2994004,,Mental disorder,Brain fag,False,False,False,False,False,False,False,
UI/34134009,,Mental disorder,Shenjing shuairuo,False,False,False,False,False,False,False,
UI/34741005,,Mental disorder,Nervios,False,False,False,False,False,False,False,
UI/40950007,,Mental disorder,Zar,False,False,False,False,False,False,False,
UI/41196008,,Mental disorder,Dhat,False,False,False,False,False,False,False,
UI/41673007,,Mental disorder,Ataque de nervios,False,False,False,False,False,False,False,
UI/41932008,,Mental disorder,Amok,False,False,False,False,False,False,False,
UI/50643003,,Mental disorder,Latah,False,False,False,False,False,False,False,
UI/51946000,,Mental disorder,Susto,False,False,False,False,False,False,False,
UI/54560009,,Mental disorder,Windigo,False,False,False,False,False,False,False,
UI/651003,,Mental disorder,Root work,False,False,False,False,False,False,False,
UI/65179007,,Mental disorder,Koro,False,False,False,False,False,False,False,
UI/65207000,,Mental disorder,Locuru,False,False,False,False,False,False,False,
UI/74803002,,Mental disorder,Taijin kyofusho,False,False,False,False,False,False,False,
UI/75605002,,Mental disorder,Sangue dormido,False,False,False,False,False,False,False,
