object_property (op),super-op,domain,range,functional,inverse functional,transitive,symmetric,asymmetric,reflexive,irreflexive,inverse_prop
has/Symptoms/Agitation,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
has/Complications/Suicide,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
has/Symptoms/Fast_heart_rate,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
has/Complications/Depression,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
has/Complications/Trouble_sleeping,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
has/Complications/Suicide,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
has/Medication/Beta_blockers,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
has/Symptoms/Memory_problems,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
